contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,candidate_party_id,candidate_party_name,votes
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,43,Jerrold L. Nadler,,,68,County,New York ,,true,7,Democratic,184872
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,43,Jerrold L. Nadler,,,68,County,New York ,,true,10,Working Families,16018
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,44,Michael K. Zumbluskas,,,68,County,New York ,,false,8,Republican,40994
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,44,Michael K. Zumbluskas,,,68,County,New York ,,false,9,Conservative,2715
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,44,Michael K. Zumbluskas,,,68,County,New York ,,false,19,Parent,40994
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,45,Mikhail Itkis,,,68,County,New York ,,false,14,Itkis,631
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,6,Scattering,,,68,County,New York ,,false,,,411
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,10,Blank,,,68,County,New York ,,false,,,4973
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,9,Void,,,68,County,New York ,,false,,,0
16,1,2022-11-08T00:00:00Z,General,,,,,,,188,Congressional District,12,1,Total Votes,,,68,County,New York ,,false,,,251078
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,67,County,Kings,,true,7,Democratic,29627
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,967,Carlos Santiago-Cano,,,67,County,Kings,,false,8,Republican,3655
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,967,Carlos Santiago-Cano,,,67,County,Kings,,false,9,Conservative,379
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,968,Steven Kolln,,,67,County,Kings,,false,29,Libertarian,487
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,6,Scattering,,,67,County,Kings,,false,,,85
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,10,Blank,,,67,County,Kings,,false,,,1369
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,9,Void,,,67,County,Kings,,false,,,0
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,1,Total Votes,,,67,County,Kings,,false,,,35602
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,68,County,New York ,,true,7,Democratic,193336
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,967,Carlos Santiago-Cano,,,68,County,New York ,,false,8,Republican,38485
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,967,Carlos Santiago-Cano,,,68,County,New York ,,false,9,Conservative,2746
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,968,Steven Kolln,,,68,County,New York ,,false,29,Libertarian,2815
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,6,Scattering,,,68,County,New York ,,false,,,520
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,10,Blank,,,68,County,New York ,,false,,,8987
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,9,Void,,,68,County,New York ,,false,,,5
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,1,Total Votes,,,68,County,New York ,,false,,,246894
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,430,County,Queens,,true,7,Democratic,42209
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,967,Carlos Santiago-Cano,,,430,County,Queens,,false,8,Republican,7017
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,967,Carlos Santiago-Cano,,,430,County,Queens,,false,9,Conservative,779
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,968,Steven Kolln,,,430,County,Queens,,false,29,Libertarian,713
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,6,Scattering,,,430,County,Queens,,false,,,168
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,10,Blank,,,430,County,Queens,,false,,,2691
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,9,Void,,,430,County,Queens,,false,,,6
544,5,2020-11-03T00:00:00Z,General,,,,,,,188,Congressional District,12,1,Total Votes,,,430,County,Queens,,false,,,53583
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,67,County,Kings,,true,7,Democratic,20498
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,67,County,Kings,,true,10,Working Families,2379
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,67,County,Kings,,true,56,Reform,20498
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,1121,Eliot Rabin,,,67,County,Kings,,false,8,Republican,1577
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,780,Scott Hutchins,,,67,County,Kings,,false,28,Green,579
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,6,Scattering,,,67,County,Kings,,false,,,32
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,10,Blank,,,67,County,Kings,,false,,,425
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,9,Void,,,67,County,Kings,,false,,,0
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,1,Total Votes,,,67,County,Kings,,false,,,25562
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,68,County,New York ,,true,7,Democratic,155500
609,9,2018-11-06T00:00:00Z,General,,,,,,,188,Congressional District,12,966,Carolyn B. Maloney,,,68,County,New York ,,true,10,Working Families,6749
