contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,candidate_party_id,candidate_party_name,votes
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,640,Joseph R. Biden and Kamala Harris,,,2,County,Albany,,true,7,Democratic,91260
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,640,Joseph R. Biden and Kamala Harris,,,2,County,Albany,,true,10,Working Families,8214
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,641,Donald J. Trump and Michael R. Pence,,,2,County,Albany,,false,8,Republican,46066
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,641,Donald J. Trump and Michael R. Pence,,,2,County,Albany,,false,9,Conservative,5015
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,643,Jo Jorgensen and Jeremy Cohen,,,2,County,Albany,,false,29,Libertarian,1523
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,642,Howie Hawkins and Angela Nicole Walker,,,2,County,Albany,,false,28,Green,779
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,644,Brock Pierce and Karla Ballard,,,2,County,Albany,,false,18,Independence,595
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,656,Kanye West,,,2,County,Albany,,false,,,61
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,645,Brian Carroll,,,2,County,Albany,,false,,,32
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,646,Gloria La Riva,,,2,County,Albany,,false,,,9
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,652,Jade Simmons,,,2,County,Albany,,false,,,25
308,5,2020-11-03T00:00:00Z,General,,,,,,,1,State,New York,660,Mark Charles,,,2,County,Albany,,false,,,0
